Question,Answer,Link
What are Provincial Attestation Letters (PALs) required for?,"Provincial Attestation Letters are required when applying for a study permit, as announced by Immigration, Refugees and Citizenship Canada on January 24, 2025.",https://www.sfu.ca/students/isap/faqs-international/immigration.html
When do the expanded PAL requirements take effect?,"The expanded PAL requirements apply to study permit applications submitted on or after January 22, 2025.",https://www.sfu.ca/students/isap/faqs-international/immigration.html
Who is affected by the expanded PAL requirements?,"The expanded PAL requirements affect both in-Canada study permit extensions and outside Canada study permit applications, including Master's and PhD students.",https://www.sfu.ca/students/isap/faqs-international/immigration.html
Are current SFU students required to submit a PAL when extending their study permits?,Current SFU students are exempt from submitting a PAL if they are extending their study permits within Canada at the same designated learning institution and same level of study as their current study permit.,https://www.sfu.ca/students/isap/faqs-international/immigration.html
Where can I find more information about PAL exemptions?,More information about PAL exemptions can be found on IRCC's website at https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/study-permit/get-documents/provincial-attestation-letter.html.,https://www.sfu.ca/students/isap/faqs-international/immigration.html
How can SFU students obtain a PAL?,"SFU students can learn how to obtain a PAL by reviewing the FAQ page at https://www.sfu.ca/students/isap/faqs-international/immigration.html#:~:text=our%20FAQ%20page-,here,-on%20how%20to.",https://www.sfu.ca/students/isap/faqs-international/immigration.html
Do I need a PAL to apply for my study permit?,"As of January 22, 2025, most international students applying for study permits from outside Canada or certain study permit extensions inside Canada (like changing study level or transferring institutions) will need a Provincial Attestation Letter (PAL), unless they qualify for an exemption outlined on IRCC's website.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/Do-I-need-a-PAL-to-apply-for-my-study-permit.html
Who is exempt from requiring a PAL for their study permit application?,"Exemptions include students inside Canada extending their permit at the same institution and study level, exchange students not paying tuition directly to SFU, minor children applying for K-12 studies, and protected persons in Canada applying for a study permit.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/Do-I-need-a-PAL-to-apply-for-my-study-permit.html
Where can I check if I'm exempt from the PAL requirement?,You can visit IRCC's website to check if you meet one of the PAL exceptions or review various scenarios on SFU's News and Updates page to determine if you need a PAL for your study permit application.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/Do-I-need-a-PAL-to-apply-for-my-study-permit.html
Who can I contact if I have questions about PAL exemptions?,"If you have questions about PAL exemptions or if you require a PAL, you can contact an International Student Advisor or Immigration Specialist at SFU for support.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/Do-I-need-a-PAL-to-apply-for-my-study-permit.html
When did the PAL requirement come into effect?,"The PAL requirement for study permit applications came into effect on January 22, 2025.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/Do-I-need-a-PAL-to-apply-for-my-study-permit.html
How can I receive my PAL?,"As of January 22, 2025, most international students applying for study permits from outside Canada or certain extensions within Canada need a Provincial Attestation Letter (PAL), unless they qualify for an exemption listed on IRCC's website.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/how-can-I-receive-my-PAL.html
How long does it take for SFU to process a PAL?,"After accepting your offer and paying the deposit, you need to wait for your PAL to be processed, and SFU will contact you with a response within 5-7 business days.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/how-can-I-receive-my-PAL.html
Where can I check if I need a PAL for my application?,You can visit IRCC's website to check if you meet one of the PAL exceptions or review various scenarios on SFU's News and Updates page to determine if you need a PAL for your application.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/how-can-I-receive-my-PAL.html
Do I need a new PAL if I defer my admission after receiving one from SFU?,"No, you don't need a new PAL as long as your PAL was valid at the time of your study permit application submission.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/PAL-defer-admission.html
What documents should I submit to IRCC after my admission deferral is approved?,"After your admission deferral is processed and approved by SFU, you must submit your updated Offer of Admission Letter/Letter of Acceptance (LOA) through IRCC's webform to notify them that you have deferred your admission.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/PAL-defer-admission.html
When do I need to submit the updated Letter of Acceptance to IRCC?,You need to submit the new LOA through IRCC's webform while your study permit application (whether new or extension) is still in process.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/Provincial-Attestation-Letter/PAL-defer-admission.html
How can I apply for a study permit?,"If you have been accepted to SFU and have an SFU letter of acceptance, you should apply for a study permit as soon as possible. Applications are typically submitted online or by paper, unless you are eligible to apply in-person. For more information, visit https://www.sfu.ca/students/isap/explore/before/before-arriving.html.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-apply-for-a-study-permit--.html
How can I provide my biometrics?,"You are required to provide biometrics if you have not done so for an application to come to Canada in the past 10 years, unless you qualify for an exemption.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
How can I check if I already have valid biometrics on file?,You can check if you already have valid biometrics on file by using IRCC's check status tool.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
What should I do if I'm outside Canada and cannot provide biometrics by the deadline?,"If you are outside Canada and unable to provide biometrics by the deadline indicated in the instruction letter from IRCC due to unforeseen circumstances, you should contact IRCC to request an extension.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
Where can I find information on how to request a biometrics deadline extension?,"For information on how to request a deadline extension for biometrics submission, visit the IRCC website.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
Where can I find details on temporary measures for biometrics collection in Canada?,You can visit the IRCC website for details on temporary measures for biometrics collection in Canada.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
How long are biometrics valid for?,Biometrics are valid for 10 years for applications to come to Canada.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/initial-application/how-can-i-provide-my-biometrics--.html
How can I extend my time in Canada as an international student?,"If your study permit was issued for less than the amount of time needed to complete your degree, you must extend it before it expires to maintain your immigration status in Canada.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/how-can-i-extend-my-time-in-canada-as-an-international-student-.html
What is required to apply for a study permit extension?,You can only extend a study permit if you are physically inside Canada at the time of application.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/how-can-i-extend-my-time-in-canada-as-an-international-student-.html
When should I apply for my study permit extension?,"Due to varying processing times, SFU recommends submitting your application for extension 4-6 months prior to your current permit expiry date.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/how-can-i-extend-my-time-in-canada-as-an-international-student-.html
Where can I find information about extending my study permit?,"You can find information about extending your study permit on the SFU website at https://www.sfu.ca/students/isap/explore/after/extend-study-permit.html, in the SFU Study Permit Extension PDF, or in the SFU Instruction Guide for Study Permit Extension Applications.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/how-can-i-extend-my-time-in-canada-as-an-international-student-.html
What is my responsibility regarding immigration documents as an international student?,It is your responsibility to ensure that your immigration documents (study permit and passport) remain valid during your studies in Canada by keeping track of all expiry dates to maintain your immigration status.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/how-can-i-extend-my-time-in-canada-as-an-international-student-.html
Can I continue staying in Canada after I submit my study permit extension application?,"As long as IRCC receives your study permit extension application before the expiration date of your current study permit, you will have maintained status (formerly known as implied status) to stay in Canada until IRCC has finalized your application.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/can-i-continue-staying-in-canada-after-i-submit-my-study-permit-.html
Can I continue studying and working while waiting for my study permit extension?,"You may continue studying and working (if meeting the eligibility requirements) under the same conditions you were previously studying/working under while you await processing, even if your study permit expires during this time.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/can-i-continue-staying-in-canada-after-i-submit-my-study-permit-.html
What happens if I travel outside Canada while on maintained status?,"Maintained status is only applicable in Canada; if you travel outside of Canada and your study permit expires while you are away, you may not resume your study or work until your study permit extension application has been approved and you meet the requirements.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/can-i-continue-staying-in-canada-after-i-submit-my-study-permit-.html
Where can I find more information about maintained status?,"For more information about maintained status, you can visit the IRCC website at https://www.canada.ca/en/immigration-refugees-citizenship/corporate/publications-manuals/operational-bulletins-manuals/temporary-residents/visitors/implied-status-extending-stay.html.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/can-i-continue-staying-in-canada-after-i-submit-my-study-permit-.html
What should I do if my study permit has already expired?,"If you are inside Canada with an expired study permit and you did not apply to extend it before the expiry date, you may apply to restore your status in Canada if you wish to resume studying at SFU.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
What is the time limit for submitting a restoration application?,Your restoration application must be submitted within 90 days after your study permit expired or became invalid.,https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
Can I study while waiting for my restoration application to be processed?,"You can remain in Canada while you await processing of your restoration application, but you are not allowed to study until the application is approved.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
Can I work while waiting for my restoration application to be processed?,"You are not allowed to work under your study permit until your status has been restored, your study permit application has been approved, and you meet all of IRCC's work eligibility criteria for the type of work you wish to pursue.",https://www.sfu.ca/students/isap/faqs-international/immigration/studying-in-canada/staying-in-canada/what-should-i-do-if-my-study-permit-has-already-expired--.html
