Question,Answer,Link
What is the minimum number of transferable post-secondary units required to apply as a transfer student?,You must have attempted at least 24 transferable post-secondary units.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
What is the maximum number of post-secondary units that can be transferred toward an SFU degree?,You may transfer up to a maximum of 60 units.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
How are applicants with less than 24 post-secondary units evaluated?,They are evaluated based on final high school requirements and grades if they have at least a 2.00 GPA in post-secondary studies.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
What happens if an applicant has attempted 0 to 8 post-secondary units?,Admission is based only on high school courses.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
How is admission calculated for applicants with 9 to 23 post-secondary units?,"Admission is generally based on high school courses and grades, along with post-secondary GPA using all transferable units attempted, considering only the highest grade for repeated courses.",https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
How is admission determined for applicants with more than 23 post-secondary units?,"Admission is based on post-secondary GPA calculated using all transferable units attempted, with only the highest grade considered for repeat courses.",https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
When is transfer credit applied to a student's record?,Transfer credit is applied during the admission process after the application is completed.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
When can a student appeal their transfer credit assessment?,Transfer credit appeals are only assessed after accepting an offer of admission.,https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
What additional documents may SFU request for transfer credit assessment?,"SFU may request detailed course outlines from the post-secondary institution, including course objectives, duration, weekly hours, evaluation methods, textbooks, and credit earned.",https://www.sfu.ca/students/admission/admission-requirements/transfer/college-university.html
How much is the estimated tuition for an international undergraduate student for one academic year in 2024/25?,"The estimated tuition and fees for an international student are $36,024.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
What is the total estimated cost for an international undergraduate student for one academic year in 2024/25?,"The total estimated cost, including tuition, residence, medical insurance, and supplies, is $53,016.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
What is the Undergraduate Scholars Entrance Scholarship (USES) Program?,It is a scholarship program for domestic and international high school applicants demonstrating academic and community contributions.,https://www.sfu.ca/students/admission/fees-scholarships.html.html
What is the scholarship range for the Undergraduate Scholars Entrance Scholarship?,"The scholarship ranges from CAD $20,000 to $140,000.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
Who is eligible for the Undergraduate Scholars Entrance Scholarship?,High school students admitted to an undergraduate degree for the fall term who excel academically and in extracurricular activities.,https://www.sfu.ca/students/admission/fees-scholarships.html.html
What types of financial support are available to SFU undergraduate students?,"Scholarships, awards, bursaries, work-study opportunities, tuition waivers, and government student loans and grants.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
What is the purpose of bursaries at SFU?,Bursaries are awarded based on demonstrated financial need.,https://www.sfu.ca/students/admission/fees-scholarships.html.html
Are international students eligible for Canadian government student loans and grants?,"No, international students are not eligible for Canadian government student loans and grants.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
Can U.S. citizens apply for government student loans while studying at SFU?,"Yes, U.S. citizens may be eligible for U.S. government student loans.",https://www.sfu.ca/students/admission/fees-scholarships.html.html
Do international students need a study permit to study at SFU?,"Yes, a study permit issued by Immigration, Refugees and Citizenship Canada (IRCC) is required.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
What is a Provincial Attestation Letter (PAL) in the study permit application process?,A PAL is a required document for the study permit application process.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
How long can study permit processing take?,"Processing can take several weeks, so students should apply early.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
What are the on-campus housing options at SFU?,"Students can apply to live in SFU Burnaby campus residences, which offer proximity to classes, dining, and recreational facilities.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
Can students live off-campus while studying at SFU?,"Yes, students can choose to live off-campus in Greater Vancouver communities.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
What are some benefits of living off-campus in Vancouver?,"Off-campus living offers opportunities to connect with locals, access parks and urban areas, and experience Vancouver’s vibrant lifestyle.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
Where can international students find information about life in Vancouver?,SFU provides a Life in Vancouver Guide tailored for international students.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
What topics are covered in SFU's Life in Vancouver Guide?,"The guide covers meeting new people, Vancouver's culture, social customs, community values, and local lingo.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/getting-ready.html
What is University Prep at SFU?,University Prep is a free online course that helps new undergraduates transition academically to SFU.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What does SFU 101 cover?,"SFU 101 provides information about welcome events, SFU culture, student life, and academic success tips.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What is the HIVE program?,The HIVE program connects new students with a small group from their faculty to build friendships and receive support.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
When does SFU's Month of Welcome take place?,The Month of Welcome takes place at the start of each Fall term.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
What is the Global Student Centre (GSC)?,"The GSC is a campus hub for intercultural connections, global engagement, and social activities for international students.",https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
How many student-run clubs does SFU have?,SFU has over 230 student-run clubs covering various interests.,https://www.sfu.ca/students/admission/student-experience/international-student-experience/joining-sfu.html
