question,answer
Tell me about 221A Artist Run Centre.,"221A Artist Run Centre is located at 221 E Georgia St, Vancouver, BC, V6A 1Z6. It is in the Strathcona area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Privately Owned. It is currently active. You can find more information at: www.221a.ca/?."
Tell me about 222 E Georgia Studios.,"222 E Georgia Studios is located at 222 E Georgia St, Vancouver, BC, V6A 1Z7. It is in the Strathcona area. It is a Studio/Rehearsal primarily used for Artist Studio. The space is owned by Privately Owned. It is currently active. You can find more information at: http://projectspace.ca/blog/."
Tell me about Aberthau Mansion/West Point Grey Community Centre.,"Aberthau Mansion/West Point Grey Community Centre is located at 4397 W 2nd Av, Vancouver, BC, V6R 1K4. It is in the West Point Grey area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by City of Vancouver. It is currently active."
Tell me about Alliance for Arts and Culture.,"Alliance for Arts and Culture is located at 938 Howe St, Vancouver, BC, V6Z 1N9. It is in the Downtown area. It is a Museum/Gallery primarily used for Library/Archives. The space is owned by Privately Owned. It has 30 seats. It is currently active. You can find more information at: http://www.allianceforarts.com."
Tell me about Alliance Francaise de Vancouver.,"Alliance Francaise de Vancouver is located at 6161 Cambie St, Vancouver, BC, V5Z 3B2. It is in the Oakridge area. It is a Community Space primarily used for Community Centre/Hall. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.alliancefrancaise.ca/."
Tell me about Arts Club Theatre - Backstage Lounge.,"Arts Club Theatre - Backstage Lounge is located at 1585 Johnston St, Vancouver, BC, V6H 3R9. It is in the Fairview area. It is a Cafe/Restaurant/Bar primarily used for Bar/Lounge/Cabaret. The space is owned by Government. It has 60 seats. It is currently active. You can find more information at: www.thebackstagelounge.com."
Tell me about Arts Club Theatre - Granville Island Stage.,"Arts Club Theatre - Granville Island Stage is located at 1585 Johnston St, Vancouver, BC, V6H 3R9. It is in the Fairview area. It is a Theatre/Performance primarily used for Theatre. The space is owned by Government. It has 430 seats. It is currently active. You can find more information at: www.artsclub.com."
Tell me about Arts Umbrella.,"Arts Umbrella is located at 1286 Cartwright St, Vancouver, BC, V6H 3R8. It is in the Fairview area. It is a Educational primarily used for Educational Institution. The space is owned by Government. It is currently active. You can find more information at: www.artsumbrella.com."
Tell me about Astorino's Hall.,"Astorino's Hall is located at 1739 Venables St, Vancouver, BC, V5L 2H3. It is in the Grandview-Woodland area. It is a Theatre/Performance primarily used for Performance Space. The space is owned by Privately Owned. It is currently active. You can find more information at: http://www.safeamp.org/events/astorinos.html."
Tell me about Audain Gallery.,"Audain Gallery is located at 149 W Hastings St, Vancouver, BC, V6B 1H4. It is in the Downtown area. It is a Museum/Gallery primarily used for Museum/Gallery. The space is owned by Other. It is currently active. You can find more information at: https://www.sfu.ca/galleries/audain-gallery.html."
