question,answer
"What was the average household expenditure on Total expenditure in British Columbia in 2021 for All quintiles?","$99,903"
"What was the average household expenditure on Total current consumption in British Columbia in 2021 for All quintiles?","$75,028"
"What was the average household expenditure on Food expenditures in British Columbia in 2021 for All quintiles?","$11,341"
"What was the average household expenditure on Food purchased from stores in British Columbia in 2021 for All quintiles?","$8,208"
"What was the average household expenditure on Bakery products in British Columbia in 2021 for All quintiles?","$739"
"What was the average household expenditure on Cereal grains and cereal products in British Columbia in 2021 for All quintiles?","$486"
"What was the average household expenditure on Fruit, fruit preparations and nuts in British Columbia in 2021 for All quintiles?","$1,071"
"What was the average household expenditure on Vegetables and vegetable preparations in British Columbia in 2021 for All quintiles?","$1,013"
"What was the average household expenditure on Dairy products and eggs in British Columbia in 2021 for All quintiles?","$1,226"
"What was the average household expenditure on Meat in British Columbia in 2021 for All quintiles?","$1,325"
"What was the average household expenditure on Fish and seafood in British Columbia in 2021 for All quintiles?","$245"
"What was the average household expenditure on Non-alcoholic beverages and other food products in British Columbia in 2021 for All quintiles?","$2,103"
"What was the average household expenditure on Food purchased from restaurants in British Columbia in 2021 for All quintiles?","$3,075"
"What was the average household expenditure on Restaurant meals in British Columbia in 2021 for All quintiles?","$2,828"
"What was the average household expenditure on Restaurant snacks and beverages in British Columbia in 2021 for All quintiles?","$247"
"What was the average household expenditure on Shelter in British Columbia in 2021 for All quintiles?","$24,594"
"What was the average household expenditure on Principal accommodation in British Columbia in 2021 for All quintiles?","$22,711"
"What was the average household expenditure on Rented living quarters in British Columbia in 2021 for All quintiles?","$5,033"
"What was the average household expenditure on Rent in British Columbia in 2021 for All quintiles?","$4,925"
"What was the average household expenditure on Tenants' repairs and improvements in British Columbia in 2021 for All quintiles?","$28"
"What was the average household expenditure on Tenants' insurance premiums in British Columbia in 2021 for All quintiles?","$65"
"What was the average household expenditure on Parking at rented living quarters (excluding amounts reported with rent) in British Columbia in 2021 for All quintiles?","$15"
"What was the average household expenditure on Owned living quarters in British Columbia in 2021 for All quintiles?","$15,209"
"What was the average household expenditure on Mortgage paid for owned living quarters in British Columbia in 2021 for All quintiles?","$8,530"
"What was the average household expenditure on Repairs and maintenance for owned living quarters in British Columbia in 2021 for All quintiles?","$982"
"What was the average household expenditure on Condominium fees for owned living quarters in British Columbia in 2021 for All quintiles?","$1,078"
"What was the average household expenditure on Property and school taxes for owned living quarters in British Columbia in 2021 for All quintiles?","$2,189"
"What was the average household expenditure on Homeowners' insurance premiums for owned living quarters in British Columbia in 2021 for All quintiles?","$987"
"What was the average household expenditure on Other expenditures for owned living quarters in British Columbia in 2021 for All quintiles?","$1,444"
"What was the average household expenditure on Commissions for sale of real estate owned by the household in British Columbia in 2021 for All quintiles?","$394"
"What was the average household expenditure on Legal fees related to owned living quarters in British Columbia in 2021 for All quintiles?","$92"
"What was the average household expenditure on Mortgage insurance premiums for owned living quarters in British Columbia in 2021 for All quintiles?","$258"
"What was the average household expenditure on Registration fees, renewal fees and early renewal or closing penalties for owned living quarters in British Columbia in 2021 for All quintiles?","$123"
"What was the average household expenditure on Transfer taxes and land registration fees for owned living quarters in British Columbia in 2021 for All quintiles?","$422"
"What was the average household expenditure on All other expenses related to owned living quarters (excluding repairs and maintenance) in British Columbia in 2021 for All quintiles?","$156"
"What was the average household expenditure on Water, fuel and electricity for principal accommodation in British Columbia in 2021 for All quintiles?","$2,469"
"What was the average household expenditure on Water and sewage for principal accommodation in British Columbia in 2021 for All quintiles?","$469"
"What was the average household expenditure on Electricity for principal accommodation in British Columbia in 2021 for All quintiles?","$1,278"
"What was the average household expenditure on Natural gas for principal accommodation in British Columbia in 2021 for All quintiles?","$616"
"What was the average household expenditure on Other fuel for principal accommodation in British Columbia in 2021 for All quintiles?","$107"
"What was the average household expenditure on Other accommodation in British Columbia in 2021 for All quintiles?","$1,883"
"What was the average household expenditure on Owned secondary residences in British Columbia in 2021 for All quintiles?","$684"
"What was the average household expenditure on Mortgage paid for owned secondary residences in British Columbia in 2021 for All quintiles?","$220"
"What was the average household expenditure on Property and school taxes, water and sewage charges for owned secondary residences in British Columbia in 2021 for All quintiles?","$128"
"What was the average household expenditure on Insurance premiums for owned secondary residences in British Columbia in 2021 for All quintiles?","$62"
"What was the average household expenditure on Electricity and fuel (e.g. natural gas and wood) for owned secondary residences in British Columbia in 2021 for All quintiles?","$43"
"What was the average household expenditure on Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences in British Columbia in 2021 for All quintiles?","$10"
"What was the average household expenditure on Other expenses for owned secondary residences in British Columbia in 2021 for All quintiles?","$221"
"What was the average household expenditure on Other owned properties in British Columbia in 2021 for All quintiles?","$750"
"What was the average household expenditure on Accommodation away from home in British Columbia in 2021 for All quintiles?","$449"
"What was the average household expenditure on Hotels and motels in British Columbia in 2021 for All quintiles?","$245"
"What was the average household expenditure on Other accommodation away from home in British Columbia in 2021 for All quintiles?","$204"
"What was the average household expenditure on Household operations in British Columbia in 2021 for All quintiles?","$6,056"
"What was the average household expenditure on Communications in British Columbia in 2021 for All quintiles?","$3,170"
"What was the average household expenditure on Telephone in British Columbia in 2021 for All quintiles?","$1,803"
"What was the average household expenditure on Landline telephone services in British Columbia in 2021 for All quintiles?","$153"
"What was the average household expenditure on Cell phone and pager services in British Columbia in 2021 for All quintiles?","$1,324"
"What was the average household expenditure on Purchase of telephones and equipment in British Columbia in 2021 for All quintiles?","$327"
"What was the average household expenditure on Internet access services in British Columbia in 2021 for All quintiles?","$988"
"What was the average household expenditure on Digital services in British Columbia in 2021 for All quintiles?","$206"
"What was the average household expenditure on Postal, courier, delivery and other communication services in British Columbia in 2021 for All quintiles?","$173"
"What was the average household expenditure on Domestic and other custodial services (excluding child care) in British Columbia in 2021 for All quintiles?","$192"
"What was the average household expenditure on Pet expenses in British Columbia in 2021 for All quintiles?","$796"
"What was the average household expenditure on Pet food and pet-related goods in British Columbia in 2021 for All quintiles?","$403"
"What was the average household expenditure on Purchase of pets in British Columbia in 2021 for All quintiles?","$79"
"What was the average household expenditure on Veterinarian and other services in British Columbia in 2021 for All quintiles?","$313"
"What was the average household expenditure on Household cleaning supplies and equipment in British Columbia in 2021 for All quintiles?","$219"
"What was the average household expenditure on Detergent and other soaps in British Columbia in 2021 for All quintiles?","$92"
"What was the average household expenditure on Cleaning equipment (non-electric) in British Columbia in 2021 for All quintiles?","N/A"
"What was the average household expenditure on Other household cleaning supplies in British Columbia in 2021 for All quintiles?","$115"
"What was the average household expenditure on Paper, plastic and foil supplies in British Columbia in 2021 for All quintiles?","$409"
"What was the average household expenditure on Stationery (excluding school supplies) in British Columbia in 2021 for All quintiles?","$134"
"What was the average household expenditure on Other paper supplies in British Columbia in 2021 for All quintiles?","$188"
"What was the average household expenditure on Plastic and foil supplies in British Columbia in 2021 for All quintiles?","$88"
"What was the average household expenditure on Garden supplies and services in British Columbia in 2021 for All quintiles?","$620"
"What was the average household expenditure on Nursery and greenhouse stock, cut flowers, decorative plants and planting seeds in British Columbia in 2021 for All quintiles?","$358"
"What was the average household expenditure on Fertilizers, herbicides, insecticides, pesticides, soil and soil conditioners in British Columbia in 2021 for All quintiles?","$83"
"What was the average household expenditure on Groundskeeping services, snow and garbage removal in British Columbia in 2021 for All quintiles?","$179"
"What was the average household expenditure on Other household supplies in British Columbia in 2021 for All quintiles?","$235"
"What was the average household expenditure on Child care in British Columbia in 2021 for All quintiles?","$415"
"What was the average household expenditure on Child care outside the home in British Columbia in 2021 for All quintiles?","$352"
"What was the average household expenditure on Child care in the home (regular and occasional) in British Columbia in 2021 for All quintiles?","$63"
"What was the average household expenditure on Household furnishings and equipment in British Columbia in 2021 for All quintiles?","$3,320"
"What was the average household expenditure on Household furnishings in British Columbia in 2021 for All quintiles?","$1,376"
"What was the average household expenditure on Furniture in British Columbia in 2021 for All quintiles?","$949"
"What was the average household expenditure on Rugs, mats and underpadding in British Columbia in 2021 for All quintiles?","$102"
"What was the average household expenditure on Works of art, carvings and other decorative ware in British Columbia in 2021 for All quintiles?","$145"
"What was the average household expenditure on Linens in British Columbia in 2021 for All quintiles?","$91"
"What was the average household expenditure on Other household furnishings (curtains, mirrors and picture frames) in British Columbia in 2021 for All quintiles?","N/A"
"What was the average household expenditure on Household equipment in British Columbia in 2021 for All quintiles?","$1,713"
"What was the average household expenditure on Household appliances in British Columbia in 2021 for All quintiles?","$772"
"What was the average household expenditure on Refrigerators and freezers in British Columbia in 2021 for All quintiles?","$162"
"What was the average household expenditure on Microwave ovens and cooking appliances in British Columbia in 2021 for All quintiles?","$145"
"What was the average household expenditure on Washers, dryers and dishwashers in British Columbia in 2021 for All quintiles?","$186"
