question,answer
What was the average household expenditure on Total expenditure for All classes in 2021?,$92500.0
What was the average household expenditure on Total current consumption for All classes in 2021?,$67126.0
What was the average household expenditure on Food expenditures for All classes in 2021?,$10305.0
What was the average household expenditure on Food purchased from stores for All classes in 2021?,$8065.0
What was the average household expenditure on Bakery products for All classes in 2021?,$698.0
What was the average household expenditure on Cereal grains and cereal products for All classes in 2021?,$464.0
"What was the average household expenditure on Fruit, fruit preparations and nuts for All classes in 2021?",$1030.0
What was the average household expenditure on Vegetables and vegetable preparations for All classes in 2021?,$967.0
What was the average household expenditure on Dairy products and eggs for All classes in 2021?,$1161.0
What was the average household expenditure on Meat for All classes in 2021?,$1517.0
What was the average household expenditure on Fish and seafood for All classes in 2021?,$305.0
What was the average household expenditure on Non-alcoholic beverages and other food products for All classes in 2021?,$1923.0
What was the average household expenditure on Ready-to-cook meal delivery services for All classes in 2021?,$52.0
What was the average household expenditure on Food purchased from restaurants for All classes in 2021?,$2189.0
What was the average household expenditure on Restaurant meals for All classes in 2021?,$1963.0
What was the average household expenditure on Restaurant snacks and beverages for All classes in 2021?,$226.0
What was the average household expenditure on Shelter for All classes in 2021?,$21106.0
What was the average household expenditure on Principal accommodation for All classes in 2021?,$19582.0
What was the average household expenditure on Rented living quarters for All classes in 2021?,$4145.0
What was the average household expenditure on Rent for All classes in 2021?,$4010.0
What was the average household expenditure on Tenants' repairs and improvements for All classes in 2021?,$35.0
What was the average household expenditure on Tenants' insurance premiums for All classes in 2021?,$78.0
What was the average household expenditure on Parking at rented living quarters (excluding amounts reported with rent) for All classes in 2021?,$23.0
What was the average household expenditure on Owned living quarters for All classes in 2021?,$12700.0
What was the average household expenditure on Mortgage paid for owned living quarters for All classes in 2021?,$6882.0
What was the average household expenditure on Repairs and maintenance for owned living quarters for All classes in 2021?,$899.0
What was the average household expenditure on Condominium fees for owned living quarters for All classes in 2021?,$506.0
What was the average household expenditure on Property and school taxes for owned living quarters for All classes in 2021?,$2436.0
What was the average household expenditure on Homeowners' insurance premiums for owned living quarters for All classes in 2021?,$991.0
What was the average household expenditure on Other expenditures for owned living quarters for All classes in 2021?,$985.0
What was the average household expenditure on Commissions for sale of real estate owned by the household for All classes in 2021?,$261.0
What was the average household expenditure on Legal fees related to owned living quarters for All classes in 2021?,$95.0
What was the average household expenditure on Mortgage insurance premiums for owned living quarters for All classes in 2021?,$257.0
"What was the average household expenditure on Registration fees, renewal fees and early renewal or closing penalties for owned living quarters for All classes in 2021?",$79.0
What was the average household expenditure on Transfer taxes and land registration fees for owned living quarters for All classes in 2021?,$232.0
What was the average household expenditure on All other expenses related to owned living quarters (excluding repairs and maintenance) for All classes in 2021?,$62.0
"What was the average household expenditure on Water, fuel and electricity for principal accommodation for All classes in 2021?",$2737.0
What was the average household expenditure on Water and sewage for principal accommodation for All classes in 2021?,$513.0
What was the average household expenditure on Electricity for principal accommodation for All classes in 2021?,$1480.0
What was the average household expenditure on Natural gas for principal accommodation for All classes in 2021?,$565.0
What was the average household expenditure on Other fuel for principal accommodation for All classes in 2021?,$180.0
What was the average household expenditure on Other accommodation for All classes in 2021?,$1523.0
What was the average household expenditure on Owned secondary residences for All classes in 2021?,$724.0
What was the average household expenditure on Mortgage paid for owned secondary residences for All classes in 2021?,$213.0
"What was the average household expenditure on Property and school taxes, water and sewage charges for owned secondary residences for All classes in 2021?",$154.0
What was the average household expenditure on Insurance premiums for owned secondary residences for All classes in 2021?,$58.0
What was the average household expenditure on Electricity and fuel (e.g. natural gas and wood) for owned secondary residences for All classes in 2021?,$60.0
"What was the average household expenditure on Communication and home security services (e.g. landline telephone, television, satellite radio and Internet) for owned secondary residences for All classes in 2021?",$21.0
What was the average household expenditure on Other expenses for owned secondary residences for All classes in 2021?,$217.0
What was the average household expenditure on Other owned properties for All classes in 2021?,$402.0
What was the average household expenditure on Accommodation away from home for All classes in 2021?,$397.0
What was the average household expenditure on Hotels and motels for All classes in 2021?,$194.0
What was the average household expenditure on Other accommodation away from home for All classes in 2021?,$203.0
What was the average household expenditure on Household operations for All classes in 2021?,$5587.0
What was the average household expenditure on Communications for All classes in 2021?,$3001.0
What was the average household expenditure on Telephone for All classes in 2021?,$1805.0
What was the average household expenditure on Landline telephone services for All classes in 2021?,$223.0
