Question,Answer,Link
What is a benefit of having your own room in SFU residence?,You don't have to share your room with anyone.,https://www.sfu.ca/students/residences/why-live-in-residence.html
Can students personalize their room in SFU residence?,"Yes, students can decorate and set up their room however they like.",https://www.sfu.ca/students/residences/why-live-in-residence.html
What contest does SFU run every fall for residents?,The Coolest Rooms contest.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What is the philosophy behind SFU Residence?,"It's an unfiltered and organic experience created for students, by students, about students.",https://www.sfu.ca/students/residences/why-live-in-residence.html
Where can students find personal experiences of SFU residents?,On SFU Residence's Instagram and YouTube channels.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What academic benefit do students in residence experience?,They tend to have higher GPAs.,https://www.sfu.ca/students/residences/why-live-in-residence.html
How does living in residence affect graduation rates?,Students in residence show higher graduation rates.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What social benefit comes from living in SFU Residence?,Students are more likely to make friends and feel a sense of community.,https://www.sfu.ca/students/residences/why-live-in-residence.html
How does living in residence help students navigate SFU?,It makes them more comfortable with the campus.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What percentage of residence students are undergraduate?,"Over 2,300 undergraduate students live in residence.",https://www.sfu.ca/students/residences/why-live-in-residence.html
How diverse is SFU Residence in terms of nationality?,"Students from over 70 countries live in SFU residence. Top countries represented in SFU residence: China (Mainland), USA, India, and China (Hong Kong)",https://www.sfu.ca/students/residences/why-live-in-residence.html
What types of housing communities are available at SFU?,"There are gender-inclusive, living learning, graduate, single-gender, and family housing communities.",https://www.sfu.ca/students/residences/why-live-in-residence.html
Who supports students in SFU Residence?,Professional live-in staff and live-in student support staff.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What meal plan is offered in SFU Residence?,An all-you-care-to-eat meal plan available 24 hours from September to April.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What kinds of programs are offered in SFU Residence?,Programs that support academic success and personal growth.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What kind of community environment does SFU Residence promote?,A supportive and safe residence community.,https://www.sfu.ca/students/residences/why-live-in-residence.html
How close are students in residence to campus resources?,They have quick access to SFU and FIC resources and supports.,https://www.sfu.ca/students/residences/why-live-in-residence.html
What kind of development does SFU Residence encourage?,"Academic, personal, and social growth.",https://www.sfu.ca/students/residences/why-live-in-residence.html
Who does SFU Residence collaborate with for student support programs?,"Campus partners like the Multifaith Centre, Health Promotions Team, Campus Public Safety, and The Sexual Violence Support & Prevention Office.",https://www.sfu.ca/students/residences/why-live-in-residence.html
Does SFU have any service to help students find off-campus housing?,SFU partners with Places4Students to provide off-campus rental listings. Link: https://www.places4students.com/Places/School.aspx?SchoolID=xCSJ%2fv5WiAA%3d,https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
Is the Places4Students service free for SFU students?,"Yes, all services are free for students and academic institutions.",https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
Which cities have dedicated off-campus housing listings for SFU students?,"Burnaby: https://www.places4students.com/Places/School.aspx?SchoolID=xCSJ%2fv5WiAA%3d, Vancouver: https://www.places4students.com/Places/School?SchoolID=jKylFPwtNwo%3d, Surrey: https://www.places4students.com/Places/School?SchoolID=bYv20Rltgyc%3d",https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
What does Places4Students specialize in?,They specialize in providing rental housing options for students.,https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
Does SFU take responsibility for rental agreements made through Places4Students?,"No, SFU does not assume any responsibility for agreements made between students and landlords.",https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
Does SFU screen or approve landlords on Places4Students?,"No, SFU does not screen, inspect, warrant, or approve any landlords or accommodations.",https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
What should students do before renting off-campus?,Students should familiarize themselves with the BC Tenancy Act.,https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
What resource does SFU offer to help avoid rental scams?,"SFU provides a ""How Can I Spot and Avoid Rental Scams?"" document.",https://www.sfu.ca/students/residences/housing-options/off-campus-housing.html
How many residence communities does SFU offer?,SFU offers 9 different residence communities across Burnaby and Vancouver campuses.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Who can live in SFU residence communities?,"Undergraduate, graduate, and eligible family housing students from SFU and FIC can live in residence.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Are residence rooms at SFU shared?,"No, all residence rooms at SFU are single occupancy.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Can students choose to live on single-gender floors?,"Yes, but availability is limited and only in select buildings.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Is there graduate housing available at SFU Vancouver?,"Yes, graduate housing is available at the Vancouver campus.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What is required to move into or continue living in SFU residences?,"You must be an SFU or FIC student, have no overdue fees, and meet specific enrollment criteria.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What is the enrollment requirement for SFU undergraduates in residence?,They must be enrolled full-time in at least 9 credit hours or be in a co-op or the Back on Track Program.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What is the enrollment requirement for FIC students in residence?,They must maintain full-time enrollment for each term in residence.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What is the requirement for SFU graduate students in residence?,They must be registered in and active in a graduate degree program.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Can postdoctoral fellows apply for family housing?,"Yes, but only if they are internal postdoctoral fellows and based on availability.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What is the First Year Guarantee for residence?,Eligible first-year undergraduates who apply before May 1 and accept SFU admission by May 1 are guaranteed housing.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
When should students apply for SFU housing?,"As early as possible, even before being admitted, due to high demand.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Is it possible to apply for housing before receiving an SFU offer?,"Yes, students can apply before being admitted to SFU or FIC.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Where can students reach out if they have housing questions?,They should email housing@sfu.ca for assistance.,https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
Can students request to live on special community floors?,"Yes, but placement depends on availability and is not guaranteed.",https://www.sfu.ca/students/residences/housing-options/housing-comparison.html
What are the steps to apply for SFU housing?,"Go to the MyPlace@SFU website to start your housing application. Log in or click Register to create your new profile if this is your first time applying; Click Application on the top-left of the MyPlace@SFU home screen. You must pay the $50 application fee (last step of the application) to complete your application. Familiarize yourself with the next steps including waiting for your offer and accepting your offer process",https://www.sfu.ca/students/residences/apply/application-process.html
When should international students apply for SFU residence?,Apply as soon as possible as spaces are limited and are offered based on the priority process and then by application completion date.,https://www.sfu.ca/students/residences/apply/application-process.html
How much is the application fee for SFU housing?,The application fee is $50 which must be paid to complete your application.,https://www.sfu.ca/students/residences/apply/application-process.html
How do I check my housing application status after applying?,You can check your application status online via the MyPlace@SFU portal.,https://www.sfu.ca/students/residences/apply/application-process.html
When do applications open for Fall term housing?,Applications for Fall term housing open on October 1.,https://www.sfu.ca/students/residences/apply/application-process.html
When do housing offers begin for the Spring term?,Housing offers for the Spring term begin between October and December.,https://www.sfu.ca/students/residences/apply/application-process.html
Who should I contact if I'm looking for immediate housing availability?,Contact the housing office at housing@sfu.ca as occasionally space may be available for the current term.,https://www.sfu.ca/students/residences/apply/application-process.html
"What does it mean if my application status says ""complete""?","If your application status says complete, you are in the application queue.",https://www.sfu.ca/students/residences/apply/application-process.html
